metric,p10,p25,p50,p75,p90,mean,std
return_on_equity_pct,14.204422195917962,14.33974005030719,15.832712405189048,17.698769290877124,26.656329916243592,20.88058500077261,15.234730752490375
debt_to_equity,0.0025941975815990856,0.041250987061372035,0.38539770662275724,1.6685198185803718,6.438637545644947,1.623850499381489,2.8266964264727568
operating_profit_margin_pct,8.419633827693954,34.69264599658038,38.55469091544986,61.41252040373843,66.6645086904539,40.023497817339646,28.443836289225054
return_on_capital_employed_pct,2.7580837400106297,3.0725234870089873,4.224789429060751,5.7239916361428245,11.019929956689515,6.168254540226014,5.739901061694756
net_profit_margin_pct,11.838691788970145,14.409973596315066,17.751589641598088,22.98748777675499,29.237825257196178,19.29682355924809,7.530297066691499
interest_coverage,0.3501471479706143,1.2525178646198245,1.5057149984070985,1.8324462899904603,8.422072951835526,7.8738912258553855,20.83556117802648
asset_turnover,0.0697998551747779,0.07153782236255685,0.0720367478374617,0.08884228106460039,1.0046741629218334,0.32240457144539647,0.5180100137878406
free_cash_flow_cr,-18665.7,-12806.75,3967.0,13108.75,19907.299999999996,1857.4,19407.69326381222
revenue_cagr_5yr,5.838805854237616,8.440832121892061,11.836370175898114,17.183239296281414,21.08864867789759,12.950318100413172,7.382205385459933
pat_cagr_5yr,4.3594698195265895,9.86465271466127,16.2781059479576,23.77712800024647,39.277589291381965,21.10741265835075,21.548470489755804
