company_id,from_year,to_year,from_pattern,to_pattern
BRITANNIA,2017-03,2018-03,Reinvestor,Shareholder Returns
BRITANNIA,2019-03,2020-03,Shareholder Returns,Mixed
BRITANNIA,2020-03,2021-03,Mixed,Liquidating Assets
BRITANNIA,2022-03,2023-03,Liquidating Assets,Shareholder Returns
BRITANNIA,2023-03,2024-03,Shareholder Returns,Liquidating Assets
CANBK,2015-03,2016-03,Shareholder Returns,Reinvestor
CANBK,2016-03,2017-03,Reinvestor,Mixed
CANBK,2017-03,2018-03,Mixed,Growth Funded by Debt
CANBK,2018-03,2019-03,Growth Funded by Debt,Shareholder Returns
CANBK,2019-03,2020-03,Shareholder Returns,Growth Funded by Debt
CANBK,2020-03,2021-03,Growth Funded by Debt,Mixed
CANBK,2022-03,2023-03,Mixed,Growth Funded by Debt
CANBK,2023-03,2024-03,Growth Funded by Debt,Reinvestor
CHOLAFIN,2013-03,2014-03,Distress Signal,Growth Funded by Debt
CHOLAFIN,2021-03,2022-03,Growth Funded by Debt,Distress Signal
CHOLAFIN,2022-03,2023-03,Distress Signal,Growth Funded by Debt
CIPLA,2013-03,2014-03,Mixed,Shareholder Returns
CIPLA,2014-03,2015-03,Shareholder Returns,Mixed
CIPLA,2016-03,2017-03,Mixed,Shareholder Returns
CIPLA,2019-03,2020-03,Shareholder Returns,Liquidating Assets
CIPLA,2020-03,2021-03,Liquidating Assets,Shareholder Returns
CIPLA,2023-03,2024-03,Shareholder Returns,Reinvestor
COALINDIA,2013-03,2014-03,Reinvestor,Liquidating Assets
COALINDIA,2017-03,2018-03,Liquidating Assets,Shareholder Returns
COALINDIA,2018-03,2019-03,Shareholder Returns,Reinvestor
COALINDIA,2019-03,2020-03,Reinvestor,Liquidating Assets
COALINDIA,2021-03,2022-03,Liquidating Assets,Shareholder Returns
COALINDIA,2023-03,2024-03,Shareholder Returns,Reinvestor
DABUR,2014-03,2015-03,Shareholder Returns,Reinvestor
DABUR,2018-03,2019-03,Reinvestor,Liquidating Assets
DABUR,2019-03,2020-03,Liquidating Assets,Shareholder Returns
DABUR,2022-03,2023-03,Shareholder Returns,Reinvestor
DABUR,2023-03,2024-03,Reinvestor,Shareholder Returns
DIVISLAB,2016-03,2017-03,Reinvestor,Mixed
DIVISLAB,2017-03,2018-03,Mixed,Reinvestor
DIVISLAB,2020-03,2021-03,Reinvestor,Liquidating Assets
DIVISLAB,2021-03,2022-03,Liquidating Assets,Reinvestor
DIVISLAB,2022-03,2023-03,Reinvestor,Shareholder Returns
DIVISLAB,2023-03,2024-03,Shareholder Returns,Reinvestor
DLF,2015-03,2016-03,Liquidating Assets,Shareholder Returns
DLF,2016-03,2017-03,Shareholder Returns,Distress Signal
DLF,2017-03,2018-03,Distress Signal,Reinvestor
DLF,2018-03,2019-03,Reinvestor,Cash Accumulator
DLF,2019-03,2020-03,Cash Accumulator,Liquidating Assets
DLF,2022-03,2023-03,Liquidating Assets,Shareholder Returns
DLF,2023-03,2024-03,Shareholder Returns,Mixed
DMART,2017-03,2018-03,Mixed,Liquidating Assets
DMART,2018-03,2019-03,Liquidating Assets,Mixed
DMART,2020-03,2021-03,Mixed,Shareholder Returns
DMART,2021-03,2022-03,Shareholder Returns,Reinvestor
DMART,2022-03,2023-03,Reinvestor,Shareholder Returns
DRREDDY,2013-03,2014-03,Reinvestor,Shareholder Returns
DRREDDY,2023-03,2024-03,Shareholder Returns,Reinvestor
EICHERMOT,2016-03,2017-03,Shareholder Returns,Mixed
EICHERMOT,2017-03,2018-03,Mixed,Shareholder Returns
EICHERMOT,2018-03,2019-03,Shareholder Returns,Reinvestor
EICHERMOT,2020-03,2021-03,Reinvestor,Shareholder Returns
EICHERMOT,2021-03,2022-03,Shareholder Returns,Reinvestor
GAIL,2013-03,2014-03,Mixed,Reinvestor
GAIL,2014-03,2015-03,Reinvestor,Shareholder Returns
GAIL,2019-03,2020-03,Shareholder Returns,Mixed
GAIL,2020-03,2021-03,Mixed,Shareholder Returns
GAIL,2021-03,2022-03,Shareholder Returns,Reinvestor
GAIL,2022-03,2023-03,Reinvestor,Mixed
GAIL,2023-03,2024-03,Mixed,Shareholder Returns
GODREJCP,2013-03,2014-03,Mixed,Shareholder Returns
GODREJCP,2016-03,2017-03,Shareholder Returns,Mixed
GODREJCP,2017-03,2018-03,Mixed,Shareholder Returns
GODREJCP,2018-03,2019-03,Shareholder Returns,Liquidating Assets
GODREJCP,2019-03,2020-03,Liquidating Assets,Shareholder Returns
GODREJCP,2021-03,2022-03,Shareholder Returns,Reinvestor
GODREJCP,2022-03,2023-03,Reinvestor,Shareholder Returns
GODREJCP,2023-03,2024-03,Shareholder Returns,Mixed
GRASIM,2013-03,2014-03,Mixed,Shareholder Returns
GRASIM,2017-03,2018-03,Shareholder Returns,Distress Signal
GRASIM,2018-03,2019-03,Distress Signal,Growth Funded by Debt
GRASIM,2019-03,2020-03,Growth Funded by Debt,Shareholder Returns
GRASIM,2021-03,2022-03,Shareholder Returns,Reinvestor
GRASIM,2022-03,2023-03,Reinvestor,Growth Funded by Debt
HAL,2018-03,2019-03,Mixed,Distress Signal
HAL,2019-03,2020-03,Distress Signal,Mixed
HAL,2020-03,2021-03,Mixed,Shareholder Returns
HAVELLS,2015-03,2016-03,Shareholder Returns,Reinvestor
HAVELLS,2016-03,2017-03,Reinvestor,Shareholder Returns
HAVELLS,2018-03,2019-03,Shareholder Returns,Liquidating Assets
HAVELLS,2019-03,2020-03,Liquidating Assets,Shareholder Returns
