company_id,from_year,to_year,from_pattern,to_pattern
SUNPHARMA,2017-03,2018-03,Reinvestor,Shareholder Returns
SUNPHARMA,2018-03,2019-03,Shareholder Returns,Reinvestor
SUNPHARMA,2019-03,2020-03,Reinvestor,Shareholder Returns
SUNPHARMA,2020-03,2021-03,Shareholder Returns,Liquidating Assets
SUNPHARMA,2021-03,2022-03,Liquidating Assets,Shareholder Returns
SUNPHARMA,2022-03,2023-03,Shareholder Returns,Mixed
SUNPHARMA,2023-03,2024-03,Mixed,Shareholder Returns
TATACONSUM,2013-03,2014-03,Cash Accumulator,Reinvestor
TATACONSUM,2014-03,2015-03,Reinvestor,Shareholder Returns
TATACONSUM,2015-03,2016-03,Shareholder Returns,Liquidating Assets
TATACONSUM,2017-03,2018-03,Liquidating Assets,Reinvestor
TATACONSUM,2018-03,2019-03,Reinvestor,Liquidating Assets
TATACONSUM,2019-03,2020-03,Liquidating Assets,Shareholder Returns
TATACONSUM,2023-03,2024-03,Shareholder Returns,Mixed
TATAMOTORS,2014-03,2015-03,Shareholder Returns,Mixed
TATAMOTORS,2015-03,2016-03,Mixed,Shareholder Returns
TATAMOTORS,2016-03,2017-03,Shareholder Returns,Mixed
TATAMOTORS,2021-03,2022-03,Mixed,Reinvestor
TATAMOTORS,2022-03,2023-03,Reinvestor,Shareholder Returns
TATAPOWER,2016-03,2017-03,Shareholder Returns,Mixed
TATAPOWER,2017-03,2018-03,Mixed,Shareholder Returns
TATAPOWER,2020-03,2021-03,Shareholder Returns,Liquidating Assets
TATAPOWER,2021-03,2022-03,Liquidating Assets,Shareholder Returns
TATAPOWER,2022-03,2023-03,Shareholder Returns,Mixed
TATAPOWER,2023-03,2024-03,Mixed,Shareholder Returns
TATASTEEL,2013-03,2014-03,Reinvestor,Mixed
TATASTEEL,2014-03,2015-03,Mixed,Reinvestor
TATASTEEL,2017-03,2018-03,Reinvestor,Mixed
TATASTEEL,2018-03,2019-03,Mixed,Shareholder Returns
TATASTEEL,2023-03,2024-03,Shareholder Returns,Reinvestor
TCS,2017-03,2018-03,Reinvestor,Liquidating Assets
TCS,2020-03,2021-03,Liquidating Assets,Shareholder Returns
TCS,2022-03,2023-03,Shareholder Returns,Liquidating Assets
TECHM,2013-03,2014-03,Mixed,Liquidating Assets
TECHM,2014-03,2015-03,Liquidating Assets,Reinvestor
TECHM,2015-03,2016-03,Reinvestor,Shareholder Returns
TECHM,2017-03,2018-03,Shareholder Returns,Reinvestor
TECHM,2018-03,2019-03,Reinvestor,Shareholder Returns
TECHM,2019-03,2020-03,Shareholder Returns,Liquidating Assets
TECHM,2020-03,2021-03,Liquidating Assets,Shareholder Returns
TECHM,2021-03,2022-03,Shareholder Returns,Liquidating Assets
TECHM,2022-03,2023-03,Liquidating Assets,Shareholder Returns
TITAN,2013-03,2014-03,Reinvestor,Growth Funded by Debt
TITAN,2014-03,2015-03,Growth Funded by Debt,Reinvestor
TITAN,2016-03,2017-03,Reinvestor,Shareholder Returns
TITAN,2017-03,2018-03,Shareholder Returns,Mixed
TITAN,2018-03,2019-03,Mixed,Reinvestor
TITAN,2019-03,2020-03,Reinvestor,Mixed
TITAN,2020-03,2021-03,Mixed,Shareholder Returns
TITAN,2021-03,2022-03,Shareholder Returns,Mixed
TITAN,2023-03,2024-03,Mixed,Reinvestor
TORNTPHARM,2015-03,2016-03,Mixed,Shareholder Returns
TORNTPHARM,2017-03,2018-03,Shareholder Returns,Mixed
TORNTPHARM,2018-03,2019-03,Mixed,Shareholder Returns
TORNTPHARM,2019-03,2020-03,Shareholder Returns,Liquidating Assets
TORNTPHARM,2020-03,2021-03,Liquidating Assets,Shareholder Returns
TORNTPHARM,2022-03,2023-03,Shareholder Returns,Mixed
TORNTPHARM,2023-03,2024-03,Mixed,Shareholder Returns
TRENT,2013-03,2014-03,Mixed,Pre-Revenue
TRENT,2014-03,2015-03,Pre-Revenue,Growth Funded by Debt
TRENT,2015-03,2016-03,Growth Funded by Debt,Shareholder Returns
TRENT,2017-03,2018-03,Shareholder Returns,Reinvestor
TRENT,2018-03,2019-03,Reinvestor,Mixed
TRENT,2020-03,2021-03,Mixed,Liquidating Assets
TRENT,2022-03,2023-03,Liquidating Assets,Shareholder Returns
TRENT,2023-03,2024-03,Shareholder Returns,Reinvestor
TVSMOTOR,2014-03,2015-03,Shareholder Returns,Mixed
TVSMOTOR,2015-03,2016-03,Mixed,Shareholder Returns
TVSMOTOR,2017-03,2018-03,Shareholder Returns,Mixed
TVSMOTOR,2018-03,2019-03,Mixed,Growth Funded by Debt
TVSMOTOR,2019-03,2020-03,Growth Funded by Debt,Mixed
TVSMOTOR,2021-03,2022-03,Mixed,Growth Funded by Debt
