id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,roce_sector_benchmark_pct,roce_vs_sector_benchmark_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt_cr,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_quality_score,cfo_quality_label,fcf_conversion_rate_pct,capital_allocation_pattern,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,composite_quality_score,roe,roce,npm,opm,de,fcf,net_debt,icr,book_value,company_name,face_value,sector,sales,dividend_payout,net_profit,eps,market_cap,pe,pb,dividend_yield,broad_sector,de_previous_year,de_declining,fcf_yield_pct
587,INDIGO,2019-03,0.547426044846826,100.52988033828123,120.93023255813952,13201.84331797235,,,41.8230563002681,0.6821705426356589,0,21.620377358490565,,0,68.0,76.39946380697052,634.0,2526.0,8.864090956942835,Capital Intensive,4.0,44.48275862068965,123.0,88.0,3160.0,-14.344662971577204,Accrual Risk,2.2130689751466073,Shareholder Returns,67.58091776468258,,19.313355125806165,,20.01227897172877,,,TURNAROUND,120.69250867467933,,32.9316579498421,,,TURNAROUND,121.23568222761168,,-34.87773528813343,,80.0,120.93023255813952,13201.84331797235,0.547426044846826,100.52988033828123,0.6821705426356589,634.0,68.0,21.620377358490565,44.48275862068965,Interglobe Aviation Ltd,10.0,Consumer Discretionary,28497.0,123.0,156.0,4.0,1427895.35,60.24,6.95,3.21,Consumer Discretionary,0.54,False,0.04440101300140798
282,CANBK,2022-03,8.720650295975302,58.39493584841533,8.802046854676176,3.428857953728088,5.164458780029644,-1.7356008263015563,0.4892003346073091,16.18939123225797,0,1.7432643911517152,,0,821279.0,0.056096772374083344,-510.0,1429.0,2.0236780241878383,Asset Light,7.0,77.13450937155457,19.0,1132626.0,919.0,4.069631350415008,High Quality,-1.2368133866860678,Mixed,16.302939300232524,,18.17561078322378,,10.817178802179583,,73.3401622666352,,85.7752850068174,,19.14374492187123,,61.980590063874175,,53.4206382524911,,5.449589185476622,,56.232351741800365,8.802046854676176,3.428857953728088,8.720650295975302,58.39493584841533,16.18939123225797,-510.0,821279.0,1.7432643911517152,77.13450937155457,Canara Bank,2.0,Financials,70614.0,19.0,6158.0,7.0,289660.96,74.19,6.84,1.77,Financials,17.000448646050312,True,-0.1760679105668917
187,BANKBARODA,2017-03,4.171070087468801,43.28468958694039,4.307242204007709,2.7835376522269746,5.52251486830926,-2.7389772160822856,0.25791973482236213,15.057909768500243,0,2.4240897064382008,,0,507783.0,0.06183538742185936,17314.0,551.0,1.238953972072943,Asset Light,8.0,186.43722943722943,15.0,648499.0,17865.0,3.4739109441634555,High Quality,89.94285714285715,Shareholder Returns,16.788839489625307,,17.477297665890944,,11.33242243391459,,126.679000994827,,74.50588066551305,,14.121196486586761,,128.94284851066638,,55.18455739153598,,4.582126078713333,,52.65632187432424,4.307242204007709,2.7835376522269746,4.171070087468801,43.28468958694039,15.057909768500243,17314.0,507783.0,2.4240897064382008,186.43722943722943,Bank of Baroda,2.0,Financials,44473.0,15.0,1855.0,8.0,,,,,Financials,14.599816483542337,False,
1139,TRENT,2022-03,0.7781236104935527,13.228101378390395,1.4805414551607445,8.393285371702639,,,0.45301579083613774,1.998730964467005,0,2.2984615384615386,,0,3441.0,0.582190007765985,114.0,56.0,1.2449977767896843,Asset Light,3.0,65.66666666666667,57.0,4725.0,58.0,1.1823415460786655,High Quality,19.15966386554622,Liquidating Assets,68.36335197744833,,36.30691600183056,,18.15797703617492,,,TURNAROUND,73.11367578503176,,,TURNAROUND,,TURNAROUND,69.52182030724354,,,TURNAROUND,53.74379290257346,1.4805414551607445,8.393285371702639,0.7781236104935527,13.228101378390395,1.998730964467005,114.0,3441.0,2.2984615384615386,65.66666666666667,Trent Ltd,1.0,Consumer Discretionary,4498.0,57.0,35.0,3.0,607706.78,68.1,13.78,1.2,Consumer Discretionary,0.1297016861219196,False,0.018759046920621816
548,ICICIBANK,2018-03,14.63916862391815,117.12300119043788,8.225616921269095,7.863879683915371,4.993629027364845,2.8702506565505264,0.8094061893779224,7.368688420862334,0,1.280370376890172,,1,442990.0,0.05529044785067078,-31168.0,50551.0,81.32138605578972,Capital Intensive,12.0,172.0528771384137,12.0,815198.0,19383.0,3.8724380449452576,High Quality,-42.80965854462544,Mixed,21.39660074377121,,17.25086850260209,,12.41864172369489,,31.28635844345755,,51.94877118224903,,14.714696775470282,,32.63524026321307,,55.18455739153598,,13.995881918674137,,54.12313228225689,8.225616921269095,7.863879683915371,14.63916862391815,117.12300119043788,7.368688420862334,-31168.0,442990.0,1.280370376890172,172.0528771384137,ICICI Bank Ltd,2.0,Financials,62162.0,12.0,9100.0,12.0,,,,,Financials,6.698467008181054,False,
33,ADANIENT,2020-03,2.3961477317236133,5.285348939013432,6.136779370980115,7.811755090921474,,,2.2186666666666666,0.7328140673865581,0,2.013994910941476,,0,10467.0,0.9259306666666667,1372.0,1082.0,2.4929152362739906,Asset Light,10.0,154.06363636363636,10.0,12419.0,2454.0,3.670388196608809,High Quality,59.80819529206626,Shareholder Returns,34.60338228109774,,19.015414753081238,,5.78467705445147,,47.182006037517255,,45.81058899665285,,2.3412223540726584,,51.82944859378311,,31.95079107728942,,3.4219694129380196,,58.99830788556301,6.136779370980115,7.811755090921474,2.3961477317236133,5.285348939013432,0.7328140673865581,1372.0,10467.0,2.013994910941476,154.06363636363636,Adani Enterprises Ltd,1.0,Industrials,43403.0,10.0,1040.0,10.0,217309.44,36.71,2.39,2.72,Industrials,0.7619273515857956,True,0.6313577541776372
177,BAJFINANCE,2020-03,19.959050580116784,34.72738302874043,16.283098243009157,5.649031048392071,4.642391716347407,1.0066393320446636,3.2021217706565444,4.015280871071517,0,1020.8888888888889,,0,112262.0,0.1604345736688748,-33170.0,8758.0,33.20694623492834,Capital Intensive,87.0,538.8,11.0,129806.0,-24412.0,-3.758378367355445,Accrual Risk,-362.15744076864286,Growth Funded by Debt,27.259405758095312,,24.352642739542006,,,INSUFFICIENT,48.41981202939976,,29.323134825979015,,,INSUFFICIENT,47.23498631055778,,27.5561392815338,,,INSUFFICIENT,63.29274931947538,16.283098243009157,5.649031048392071,19.959050580116784,34.72738302874043,4.015280871071517,-33170.0,112262.0,1020.8888888888889,538.8,Bajaj Finance Ltd,2.0,Financials,26374.0,11.0,5264.0,87.0,973552.26,46.9,6.39,0.33,Financials,5.1575366807127985,True,-3.4071103691957942
642,IRCTC,2024-09,,,,,,,,0.011921657678115243,0,,Debt Free,0,27.0,,,,,,,44.0375,,42.0,,0.9036900006508211,Moderate,,Mixed,76.46921430165466,,17.955244103890912,,,INSUFFICIENT,81.11627776293705,,29.16686408659448,,,INSUFFICIENT,91.29311827723889,,28.473515712343932,,,INSUFFICIENT,32.049200008677616,,,,,0.011921657678115243,,27.0,,44.0375,Indian Railway Catering & Tourism Corporation Ltd,2.0,Consumer Discretionary,4270.0,47.0,1111.0,14.0,1258520.29,60.44,5.74,1.08,Consumer Discretionary,0.018575851393188854,True,
756,LTIM,2013-03,14.593612048818489,22.591534666320438,41.97162061239731,55.30832803560076,,,24.140893470790378,0.17475728155339806,0,42.476190476190474,,0,185.0,1.654209621993127,384.0,224.0,5.816670994546871,Moderate,174.0,83.6875,54.0,234.0,608.0,1.016292459052437,High Quality,44.13793103448276,Shareholder Returns,42.13101535214459,,30.32798083513346,,21.85605589762474,,33.24835486418234,,24.775129058600996,,16.495191642458163,,11.772828128939317,,12.24383304425547,,-6.666549487610296,,93.55056612069916,41.97162061239731,55.30832803560076,14.593612048818489,22.591534666320438,0.17475728155339806,384.0,185.0,42.476190476190474,83.6875,LTIMindtree Ltd,1.0,Information Technology,3851.0,54.0,562.0,174.0,,,,,Information Technology,,False,
114,ATGL,2019-03,13.321698662012798,26.46887725421757,20.780399274047188,30.414438502673796,,,11.181640625,0.35753176043557167,0,5.711111111111111,,0,218.0,0.83935546875,,,0.0,Asset Light,2.0,10.018181818181818,12.0,394.0,,,,,Mixed,38.18335427451367,,21.08864867789759,,,INSUFFICIENT,12.99654305433795,,23.8762916927858,,,INSUFFICIENT,14.471424255333186,,24.57309396155174,,,INSUFFICIENT,80.0,20.780399274047188,30.414438502673796,13.321698662012798,26.46887725421757,0.35753176043557167,,218.0,5.711111111111111,10.018181818181818,Adani Total Gas Ltd,1.0,Energy,1719.0,12.0,229.0,2.0,1148243.4,21.14,0.81,4.39,Energy,1.3238188976377954,True,
