id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,roce_sector_benchmark_pct,roce_vs_sector_benchmark_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt_cr,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_quality_score,cfo_quality_label,fcf_conversion_rate_pct,capital_allocation_pattern,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,composite_quality_score,roe,roce,npm,opm,de,fcf,net_debt,icr,book_value,company_name,face_value,sector,sales,dividend_payout,net_profit,eps,market_cap,pe,pb,dividend_yield,broad_sector,de_previous_year,de_declining,fcf_yield_pct
640,IRCTC,2023-03,28.410053657158997,36.0350183563965,40.597255851493145,49.804839968774395,,,19.768127333464335,0.03389830508474576,0,89.0,,0,84.0,0.6958145018667715,495.0,317.0,8.952273369104773,Capital Intensive,13.0,30.975,44.0,84.0,812.0,0.9036900006508211,Moderate,38.793103448275865,Reinvestor,76.46921430165466,,17.955244103890912,,,INSUFFICIENT,81.11627776293705,,29.16686408659448,,,INSUFFICIENT,91.29311827723889,,28.473515712343932,,,INSUFFICIENT,92.04920000867762,40.597255851493145,49.804839968774395,28.410053657158997,36.0350183563965,0.03389830508474576,495.0,84.0,89.0,30.975,Indian Railway Catering & Tourism Corporation Ltd,2.0,Consumer Discretionary,3541.0,44.0,1006.0,13.0,1359334.39,22.05,11.74,2.02,Consumer Discretionary,0.05614973262032086,True,0.03641488096243928
1135,TRENT,2018-03,4.033379694019471,9.643022716736208,5.454545454545454,10.473313192346426,,,3.724315068493151,0.245141065830721,0,5.340909090909091,,0,-632.0,0.9233732876712328,73.0,4.0,0.18544274455261936,Asset Light,3.0,48.333333333333336,44.0,391.0,77.0,1.1823415460786655,High Quality,35.09615384615385,Reinvestor,68.36335197744833,,36.30691600183056,,18.15797703617492,,,TURNAROUND,73.11367578503176,,,TURNAROUND,,TURNAROUND,69.52182030724354,,,TURNAROUND,67.22575848263357,5.454545454545454,10.473313192346426,4.033379694019471,9.643022716736208,0.245141065830721,73.0,-632.0,5.340909090909091,48.333333333333336,Trent Ltd,1.0,Consumer Discretionary,2157.0,44.0,87.0,3.0,,,,,Consumer Discretionary,0.25339366515837103,True,
588,INDIGO,2020-03,-0.69358988701197,88.62009173285603,-138.54748603351956,12475.1968503937,,,-58.767772511848335,0.41899441340782123,0,20.70411495754409,,0,54.0,84.72985781990522,2370.0,4573.0,12.789461908490882,Capital Intensive,-6.0,61.724137931034484,0.0,75.0,6943.0,-14.344662971577204,Accrual Risk,7.479407959099945,Reinvestor,67.58091776468258,,19.313355125806165,,20.01227897172877,,,TURNAROUND,120.69250867467933,,32.9316579498421,,,TURNAROUND,121.23568222761168,,-34.87773528813343,,55.0,-138.54748603351956,12475.1968503937,-0.69358988701197,88.62009173285603,0.41899441340782123,2370.0,54.0,20.70411495754409,61.724137931034484,Interglobe Aviation Ltd,10.0,Consumer Discretionary,35756.0,0.0,-248.0,-6.0,1232702.22,41.91,14.04,2.83,Consumer Discretionary,0.6821705426356589,True,0.1922605444808885
169,BAJAJHLDNG,2023-03,947.5095785440614,72.79693486590038,11.194604137431535,0.8582721626199887,4.236113117074439,-3.3778409544544497,9.299090020305332,0.0021049296093431716,0,721.8571428571429,,0,-52462.0,0.009814243814394224,1591.0,137.0,26.245210727969347,Capital Intensive,436.0,3980.36036036036,28.0,93.0,1728.0,0.34018820955345913,Accrual Risk,418.6842105263158,Reinvestor,55.00574158769729,,31.612293448969165,,14.937545587928923,,26.318822706492305,,19.297559063731295,,13.992331678744474,,25.799750331593962,,18.96864732798973,,13.81670668377948,,73.52909796583553,11.194604137431535,0.8582721626199887,947.5095785440614,72.79693486590038,0.0021049296093431716,1591.0,-52462.0,721.8571428571429,3980.36036036036,Bajaj Holdings & Investment Ltd,10.0,Financials,522.0,28.0,4946.0,436.0,1714344.05,26.75,3.46,0.33,Financials,0.0026609401988702676,True,0.0928051752505572
45,ADANIGREEN,2023-03,12.512860082304528,63.91460905349794,13.321467688937568,8.07775448177223,,,1.4542139323558863,7.423740416210296,1,1.936447956028856,,0,53074.0,0.11621754920862665,3408.0,3857.0,49.60133744855967,Capital Intensive,6.0,46.11111111111111,0.0,54223.0,7265.0,-0.023529155752257936,Accrual Risk,68.57142857142857,Shareholder Returns,43.44099813858789,,34.976172926382844,,,INSUFFICIENT,90.58982840512462,,,TURNAROUND,,INSUFFICIENT,91.29311827723889,,,TURNAROUND,,INSUFFICIENT,42.461178479258535,13.321467688937568,8.07775448177223,12.512860082304528,63.91460905349794,7.423740416210296,3408.0,53074.0,1.936447956028856,46.11111111111111,Adani Green Energy Ltd,10.0,Energy,7776.0,0.0,973.0,6.0,449015.01,9.89,6.92,4.31,Energy,20.211170619739864,True,0.7589946714698914
760,LTIM,2017-03,14.936163667128133,18.920166128287956,30.884223918575067,39.12213740458015,,,21.983246547430383,0.0,0,472.3333333333333,,0,-941.0,1.4718134480416571,209.0,961.0,14.782341178280264,Capital Intensive,57.0,184.94117647058823,29.0,0.0,1170.0,1.016292459052437,High Quality,16.991869918699187,Shareholder Returns,42.13101535214459,,30.32798083513346,,21.85605589762474,,33.24835486418234,,24.775129058600996,,16.495191642458163,,11.772828128939317,,12.24383304425547,,-6.666549487610296,,92.47073224898712,30.884223918575067,39.12213740458015,14.936163667128133,18.920166128287956,0.0,209.0,-941.0,472.3333333333333,184.94117647058823,LTIMindtree Ltd,1.0,Information Technology,6501.0,29.0,971.0,57.0,,,,,Information Technology,0.02588235294117647,True,
27,ADANIENT,2014-03,4.815549529546654,17.07645549347553,11.1377699204445,9.800808464856846,,,2.240436233086654,3.0298438355011155,0,1.84815009644047,,0,71692.0,0.4652503767929417,221.0,8007.0,14.572224143265327,Capital Intensive,20.0,215.97272727272727,7.0,71980.0,8228.0,3.670388196608809,High Quality,2.3553234573164232,Shareholder Returns,34.60338228109774,,19.015414753081238,,5.78467705445147,,47.182006037517255,,45.81058899665285,,2.3412223540726584,,51.82944859378311,,31.95079107728942,,3.4219694129380196,,68.42374284134812,11.1377699204445,9.800808464856846,4.815549529546654,17.07645549347553,3.0298438355011155,221.0,71692.0,1.84815009644047,215.97272727272727,Adani Enterprises Ltd,1.0,Industrials,54947.0,7.0,2646.0,20.0,,,,,Industrials,3.240418769863526,True,
1109,TITAN,2018-03,6.836228287841191,10.198511166253102,21.650294695481335,24.244211768175784,,,11.574414452263419,0.33222003929273086,0,32.339622641509436,,0,1655.0,1.6930994643419808,47.0,98.0,0.607940446650124,Asset Light,13.0,57.19101123595506,29.0,1691.0,-51.0,0.9180593506856705,Moderate,2.8588807785888077,Mixed,33.14221885428872,,20.897163953120245,,16.675157366300255,,53.11021124836826,,20.274576296793036,,16.876825851348286,,52.4838939608516,,19.50578386760935,,17.164882683060824,,82.4393025087287,21.650294695481335,24.244211768175784,6.836228287841191,10.198511166253102,0.33222003929273086,47.0,1655.0,32.339622641509436,57.19101123595506,"Titan Company Ltd
",1.0,Consumer Discretionary,16120.0,29.0,1102.0,13.0,,,,,Consumer Discretionary,0.44460193716040636,True,
408,GAIL,2019-03,8.600866255414097,13.04370652316577,14.244413529258326,20.606286804346023,,,9.57676906439073,0.04834362229371359,0,73.31446540880503,,0,-8498.0,1.1134656417151376,2283.0,5701.0,7.4826092663079145,Moderate,10.0,204.0088691796009,25.0,2224.0,7984.0,0.9900484324735057,Moderate,22.97242906017307,Shareholder Returns,32.42353373080278,,11.825154521824267,,7.990438901094743,,17.25429359158057,,8.608876760374562,,7.54232179343064,,18.56311014966876,,8.447177119769854,,7.919350247286827,,79.04986920105209,14.244413529258326,20.606286804346023,8.600866255414097,13.04370652316577,0.04834362229371359,2283.0,-8498.0,73.31446540880503,204.0088691796009,GAIL (India) Ltd,10.0,Energy,76190.0,25.0,6553.0,10.0,665248.74,13.48,0.96,1.4,Energy,0.09299647304397898,True,0.34317990591008113
812,NAUKRI,2017-03,-4.842342342342342,-1.0135135135135136,-2.701005025125628,-0.5649717514124294,,,-2.0944958597174863,0.000628140703517588,0,10.25,,0,-550.0,0.43253774963468095,48.0,165.0,18.58108108108108,Capital Intensive,-2.0,131.5702479338843,-230.0,1.0,213.0,-1.4615389776946528,Accrual Risk,-533.3333333333333,Reinvestor,31.002640631164248,,17.115610089960743,,16.16000419274206,,-25.134755898556637,,0.10114653187012212,,25.787235225263295,,-26.319370027192267,,-2.1296099175999395,,18.58677786278009,,35.0,-2.701005025125628,-0.5649717514124294,-4.842342342342342,-1.0135135135135136,0.000628140703517588,48.0,-550.0,10.25,131.5702479338843,Info Edge (India) Ltd,10.0,Communication Services,888.0,-230.0,-43.0,-2.0,,,,,Communication Services,0.0006480881399870382,True,
