id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,roce_sector_benchmark_pct,roce_vs_sector_benchmark_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt_cr,asset_turnover,free_cash_flow_cr,capex_cr,capex_intensity_pct,capex_intensity_label,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,cfo_quality_score,cfo_quality_label,fcf_conversion_rate_pct,capital_allocation_pattern,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,composite_quality_score,roe,roce,npm,opm,de,fcf,net_debt,icr,book_value,company_name,face_value,sector,sales,dividend_payout,net_profit,eps,market_cap,pe,pb,dividend_yield,broad_sector,de_previous_year,de_declining,fcf_yield_pct
450,HAL,2022-03,20.65800162469537,22.014622258326565,3324.183006535948,3284.848484848485,,,2517.8217821782177,0.0784313725490196,0,98.55384615384615,,0,-17.0,121.88118811881188,-2609.0,12789.0,51.94557270511779,Capital Intensive,76.0,153.0,26.0,12.0,10180.0,1.9630754165122695,High Quality,-48.13653136531365,Shareholder Returns,9.909701355201484,,8.712548590236358,,7.216583450874392,,32.85327865470051,,26.485270563052985,,10.924924675843673,,33.420082436097246,,26.63896760913802,,15.073330286143992,,100.0,3324.183006535948,3284.848484848485,20.65800162469537,22.014622258326565,0.0784313725490196,-2609.0,-17.0,98.55384615384615,153.0,Hindustan Aeronautics Ltd,5.0,Industrials,24620.0,26.0,5086.0,76.0,1722334.17,51.22,8.86,0.93,Industrials,0.041666666666666664,False,-0.15148047605651346
584,INDIGO,2016-03,12.304832713754648,80.39653035935564,1534.775888717156,9443.959243085881,,,1013.265306122449,0.061823802163833076,0,25.23495145631068,,0,-116.0,82.34693877551021,1779.0,1337.0,8.28376703841388,Capital Intensive,55.0,3235.0,27.0,8.0,3116.0,-14.344662971577204,Accrual Risk,13.709926017262639,Shareholder Returns,67.58091776468258,,19.313355125806165,,20.01227897172877,,,TURNAROUND,120.69250867467933,,32.9316579498421,,,TURNAROUND,121.23568222761168,,-34.87773528813343,,80.0,1534.775888717156,9443.959243085881,12.304832713754648,80.39653035935564,0.061823802163833076,1779.0,-116.0,25.23495145631068,3235.0,Interglobe Aviation Ltd,10.0,Consumer Discretionary,16140.0,27.0,1986.0,55.0,,,,,Consumer Discretionary,0.15151515151515152,True,
723,LICI,2019-03,0.4596611071061123,1.0358560160137742,324.32098765432096,2.1908804600848963,4.254899446895243,-2.0640189868103462,0.07665039803060705,332.59382716049384,0,,Debt Free,0,-2630886.0,0.16675415179930025,22910.0,9636.0,1.6860656368764744,Asset Light,,81.0,2.0,269401.0,13274.0,9.679944954625284,High Quality,386.9932432432432,Liquidating Assets,6.981735429882496,,8.15986061977938,,,INSUFFICIENT,139.6168760853028,,73.17556747076097,,,INSUFFICIENT,111.25903832908759,,,INSUFFICIENT,,INSUFFICIENT,46.035856016013774,324.32098765432096,2.1908804600848963,0.4596611071061123,1.0358560160137742,332.59382716049384,22910.0,-2630886.0,,81.0,Life Insurance Corporation of India,10.0,Financials,571508.0,2.0,2627.0,,166637.32,53.3,0.6,0.77,Financials,,False,13.748420821938327
744,LT,2014-03,5.743410068897406,16.561243445340608,303.41614906832297,818.9534883720929,,,183.23330832708177,0.06832298136645963,0,2.374961502925778,,0,-59.0,31.903225806451612,-12653.0,5510.0,6.478237355092059,Moderate,35.0,201.25,27.0,110.0,-7143.0,1.4464230063906993,High Quality,-89.82677836149368,Growth Funded by Debt,17.592821624288746,,10.335347989682408,,10.02514597108597,,6.361264204860495,,8.75885858017449,,12.273743409690363,,5.027553928675843,,8.56169392953159,,10.500834061722086,,87.97176803932726,303.41614906832297,818.9534883720929,5.743410068897406,16.561243445340608,0.06832298136645963,-12653.0,-59.0,2.374961502925778,201.25,Larsen & Toubro Ltd,2.0,Industrials,85054.0,27.0,4885.0,35.0,,,,,Industrials,0.17475728155339806,True,
530,HINDUNILVR,2013-03,14.216412383350615,84.37268552806991,133.99650959860384,788.3737024221454,,,31.74826331458816,0.008726003490401396,0,20.302760463045413,,0,-2227.0,2.2332120410188554,3668.0,63.0,0.23329877055251075,Asset Light,18.0,13.26388888888889,104.0,25.0,3605.0,1.156176111154535,High Quality,16.099016853932586,Liquidating Assets,9.589435897156351,,9.504485244074123,,7.789742422365942,,8.729477470315782,,11.152950436803422,,10.022657733318274,,8.974425081854953,,9.460878422315755,,9.34980606439575,,95.41568148206046,133.99650959860384,788.3737024221454,14.216412383350615,84.37268552806991,0.008726003490401396,3668.0,-2227.0,20.302760463045413,13.26388888888889,"Hindustan Unilever Ltd
",1.0,Consumer Staples,27004.0,104.0,3839.0,18.0,,,,,Consumer Staples,,False,
831,NESTLEIND,2023-12,15.680225870542715,23.376555474223572,121.96014640097602,163.77289377289378,,,33.400155919367414,0.11020740138267589,0,38.54621848739496,,0,-507.0,2.130081300813008,2465.0,927.0,4.846805395796299,Moderate,31.0,25.614583333333332,56.0,271.0,3392.0,1.1143341868752212,High Quality,55.13307984790875,Shareholder Returns,18.282008662499027,,14.548573711802671,,9.487020936359048,,22.913427743605965,,14.852319512993839,,12.745848564103014,,23.06098642720351,,15.43852585822143,,13.073350509641957,,94.85778915833629,121.96014640097602,163.77289377289378,15.680225870542715,23.376555474223572,0.11020740138267589,2465.0,-507.0,38.54621848739496,25.614583333333332,Nestle India Ltd,1.0,Consumer Staples,19126.0,56.0,2999.0,31.0,1811624.04,11.53,1.76,4.1,Consumer Staples,0.11020740138267589,False,0.13606575898606424
317,COALINDIA,2019-03,17.536601530335588,74.88904062820076,66.01398601398601,260.1744287458573,,,13.128754106494464,0.08353808353808354,0,12.787795680493657,,0,-960.0,0.7486487096022433,8460.0,7896.0,7.928825336894745,Moderate,28.0,42.92552328411488,46.0,2210.0,16356.0,1.0216495325304558,High Quality,11.343675833679722,Reinvestor,16.493956528516662,,7.402890725901301,,7.261143616999366,,43.28908935217686,,16.43231987118112,,9.476008121750844,,42.6823258428825,,16.851518569430034,,9.777126683205474,,93.62199376707275,66.01398601398601,260.1744287458573,17.536601530335588,74.88904062820076,0.08353808353808354,8460.0,-960.0,12.787795680493657,42.92552328411488,Coal India Ltd,10.0,Materials,99586.0,46.0,17464.0,28.0,187263.0,76.5,6.82,3.05,Materials,0.07622162751511548,False,4.517710385927813
270,BRITANNIA,2023-03,14.207717317955954,17.36703269738053,65.53480475382003,43.3471137651202,,,24.767404555662495,0.8480475382003395,0,20.284023668639055,,0,-327.0,1.743236017538231,1019.0,1507.0,9.24483160542298,Capital Intensive,96.0,147.25,75.0,2997.0,2526.0,1.046539262159868,High Quality,35.99434828682445,Shareholder Returns,8.479583308976203,,8.690023727476138,,9.265752439203956,,4.856654873228505,,13.063515827454196,,18.37492911445593,,4.946129761743845,,13.14353769849137,,18.720851381956226,,91.32088952617876,65.53480475382003,43.3471137651202,14.207717317955954,17.36703269738053,0.8480475382003395,1019.0,-327.0,20.284023668639055,147.25,Britannia Industries Ltd,1.0,Consumer Staples,16301.0,75.0,2316.0,96.0,285063.86,25.49,4.57,4.06,Consumer Staples,0.9698983580922595,True,0.3574637626811059
1089,TCS,2024-03,19.136712150207767,26.690688396923118,50.944313673485176,65.26850065983149,,,31.689259788825343,0.0886406082507266,0,87.09511568123393,,0,-23741.0,1.6559406621205455,50429.0,6091.0,2.528508507926756,Asset Light,127.0,249.9696132596685,58.0,8021.0,44338.0,1.0364105693048848,High Quality,78.43256190120692,Liquidating Assets,13.632864555506409,,10.463614801716602,,11.404391189817975,,12.286310199806593,,7.871172131953608,,9.07908137484088,,13.007434657986106,,8.618771612987096,,9.991915190476197,,93.8188075907318,50.944313673485176,65.26850065983149,19.136712150207767,26.690688396923118,0.0886406082507266,50429.0,-23741.0,87.09511568123393,249.9696132596685,Tata Consultancy Services Ltd,1.0,Information Technology,240893.0,58.0,46099.0,127.0,461188.15,78.69,6.08,1.62,Information Technology,0.08502167566132886,False,10.934582772779395
457,HAVELLS,2016-03,17.118777982617857,10.481959441664472,42.94681202510737,25.18190446061373,,,29.63300661043994,0.04426825239511067,0,19.175824175824175,,0,-55.0,1.7310234784590837,392.0,121.0,1.5933631814590465,Asset Light,21.0,48.82258064516129,29.0,134.0,513.0,1.0531615268489045,High Quality,49.246231155778894,Reinvestor,21.14089015706202,,13.037907939063121,,8.728389766288359,,6.77797587953104,,10.033231229420036,,11.040413196880138,,5.566719197800074,,8.997698704834534,,11.069085371075271,,84.5241131329832,42.94681202510737,25.18190446061373,17.118777982617857,10.481959441664472,0.04426825239511067,392.0,-55.0,19.175824175824175,48.82258064516129,Havells India Ltd,1.0,Industrials,7594.0,29.0,1300.0,21.0,,,,,Industrials,0.23322332233223322,True,
